(32, 80, 163)
(68, 108, 178)
(151, 173, 212)
(68, 108, 178)
(32, 80, 163)
(31, 79, 163)
(31, 79, 163)
(31, 79, 163)
(98, 132, 191)
(209, 219, 236)
(252, 253, 254)
(209, 219, 236)
(89, 125, 187)
(34, 81, 164)
(31, 79, 163)
(31, 79, 163)
(240, 243, 249)
(255, 253, 252)
(254, 240, 238)
(255, 252, 251)
(230, 235, 245)
(88, 123, 186)
(31, 79, 163)
(60, 102, 175)
(255, 254, 253)
(251, 199, 190)
(248, 165, 150)
(251, 205, 197)
(252, 243, 241)
(116, 146, 198)
(65, 106, 177)
(196, 209, 231)
(251, 203, 194)
(243, 97, 70)
(248, 162, 146)
(253, 234, 231)
(249, 201, 192)
(141, 156, 197)
(191, 205, 229)
(254, 254, 254)
(243, 92, 65)
(241, 71, 40)
(246, 141, 122)
(254, 246, 245)
(254, 247, 246)
(234, 234, 241)
(253, 253, 254)
(254, 243, 241)
(241, 71, 40)
(241, 71, 40)
(242, 78, 48)
(247, 145, 126)
(253, 235, 231)
(255, 254, 253)
(252, 218, 211)
(245, 127, 106)
(241, 71, 40)
(241, 71, 40)
(241, 71, 40)
(241, 74, 43)
(245, 125, 103)
(250, 186, 174)
(243, 102, 76)
(241, 72, 41)
